Department,Equipment Count,Percentage of 170,Notes
Eye Department,50,29.4%,Final normalized/imported department grouping
Laboratory,38,22.4%,Final normalized/imported department grouping
Emergency Department,23,13.5%,Final normalized/imported department grouping
Operating Theater,11,6.5%,Final normalized/imported department grouping
Specialty OPD,9,5.3%,Final normalized/imported department grouping
Dialysis Center,6,3.5%,Final normalized/imported department grouping
ICU,6,3.5%,Final normalized/imported department grouping
Maternal and Child Health,6,3.5%,Final normalized/imported department grouping
Inpatient Ward,5,2.9%,Final normalized/imported department grouping
NICU,5,2.9%,Final normalized/imported department grouping
Radiology and Imaging,5,2.9%,Final normalized/imported department grouping
Central Sterilization,3,1.8%,Final normalized/imported department grouping
Pharmacy,3,1.8%,Final normalized/imported department grouping
